CUSTOMER_ID,x_customer_id,y_customer_id,mean_amount,mean_nb_tx_per_day,nb_terminals
0,54.88135039273247,71.51893663724195,62.262520726806166,21.795.327.319.875.800,126
1,42.36547993389047,64.58941130666561,46.57078506995579,3.567.092.003.128.310,115
2,96.36627605010293,38.34415188257777,80.21387861785314,2.115.579.679.011.610,111
3,56.80445610939323,92.5596638292661,11.74842552879926,0.34851719880616283,130
4,2.021839744032572,83.2619845547938,78.9248913402358,34.800.485.929.872.700,109
5,97.8618342232764,79.91585642167236,48.84053941402853,3.122.116.705.145.820,90
6,11.827442586893323,63.99210213275238,18.618562303859406,37.786.756.681.983.300,109
7,52.184832175007166,41.46619399905236,30.132783149939563,30.969.347.577.368.600,113
8,45.615033221654855,56.84339488686485,6.785031041453738,24.705.419.883.035.000,129
9,61.20957227224214,61.69339968747569,94.6560674588893,27.272.811.964.139.300,112
10,35.9507900573786,43.703195379934144,71.27496361309016,0.24090188651707933,103
11,66.67667154456677,67.06378696181594,24.986343302014884,0.5157051906194132,104
12,31.542835092418386,36.37107709426226,59.168693189698566,17.544.060.538.492.800,118
13,98.83738380592261,10.204481074802807,24.843291829009296,0.645238071539985,83
14,65.31083254653984,25.329160253978213,49.2995234213491,0.977702368006411,114
15,15.896958364551972,11.037514116430513,67.35131099920098,0.5527318053944552,102
16,19.65823616800535,36.872517066096414,82.99435683555383,0.3884051031722451,109
17,83.7944907498804,9.609840789396307,97.7636491762726,18.746.048.065.908.000,126
18,97.67610881903371,60.4845519745046,75.23004004283865,0.1567511690172827,92
19,28.280696257640958,12.01965612131689,33.13331876460377,0.4749108758169762,118
20,31.798317939397602,41.426299451466996,11.094012153134514,27.698.884.774.800.700,99
21,56.660145420657514,26.53894909394454,54.708565079336466,0.3757620430337667,114
22,57.59464955561793,92.92961975762141,35.264050482875746,26.696.415.198.547.200,122
23,13.179786240439217,71.63272041185655,32.4935788299841,0.7327654480284673,130
24,58.65129348100832,2.0107546187493552,83.7493027756495,0.018781904770188262,108
25,67.781653679623,27.000797319216485,74.84343210164651,3.848.754.180.469.750,119
26,24.875314351995804,57.61573344178369,61.24398347082471,22.890.076.231.634.900,111
27,22.308163264061832,95.2749011516985,47.4769109686746,33.856.346.898.845.100,117
28,69.94792753175044,29.743695085513366,82.31079287173533,15.860.229.633.879.300,113
29,88.11031971111616,58.12728726358587,88.76485937621102,27.701.263.603.110.600,108
30,72.52542798196406,50.13243819267023,95.82794529870627,25.759.607.969.185.400,118
31,42.38550485581797,60.639321412792434,6.8233538393866855,12.062.992.666.981.900,134
