TRANSACTION_ID,TX_DATETIME,CUSTOMER_ID,TERMINAL_ID,TX_AMOUNT,TX_FRAUD
0,2022-01-01,596,298,57.16,0
1,2022-01-01,2,447,146.0,0
2,2022-01-01,927,44,50.99,0
3,2022-01-01,568,400,44.71,0
4,2022-01-01,2803,313,96.03,0
5,2022-01-01,541,171,59.07,0
6,2022-01-01,2000,264,66.38,0
7,2022-01-01,1948,392,54.51,0
8,2022-01-01,2938,68,22.0,0
9,2022-01-01,2899,471,36.58,0
10,2022-01-01,2389,348,36.91,0
11,2022-01-01,967,279,74.32,0
12,2022-01-01,616,393,12.18,0
13,2022-01-01,1106,152,8.75,0
14,2022-01-01,2605,259,38.31,0
15,2022-01-01,360,322,92.74,0
16,2022-01-01,1546,35,37.39,0
17,2022-01-01,2916,255,16.48,0
18,2022-01-01,855,364,78.32,0
19,2022-01-01,935,474,8.37,0
20,2022-01-01,382,305,15.35,0
21,2022-01-01,2594,337,71.91,0
22,2022-01-01,381,223,23.15,0
23,2022-01-01,1380,291,4.56,0
24,2022-01-01,2798,102,76.93,0
25,2022-01-01,1181,333,56.48,0
26,2022-01-01,1525,274,70.01,0
27,2022-01-01,712,31,20.25,0
28,2022-01-01,1597,457,83.07,0
29,2022-01-01,1186,398,124.86,0
30,2022-01-01,2109,157,68.86,0
31,2022-01-01,975,70,16.56,0
32,2022-01-01,426,50,82.58,0
33,2022-01-01,1705,219,21.76,0
34,2022-01-01,2955,267,52.5,0
35,2022-01-01,2874,176,15.88,0
36,2022-01-01,893,351,4.94,0
37,2022-01-01,2873,476,66.08,0
38,2022-01-01,1073,449,85.33,0
39,2022-01-01,1396,334,16.16,0
40,2022-01-01,8,46,2.08,0
41,2022-01-01,1854,389,20.5,0
42,2022-01-01,786,494,46.77,0
43,2022-01-01,535,169,5.83,0
44,2022-01-01,1401,218,44.84,0
45,2022-01-01,2166,220,16.41,0
46,2022-01-01,1332,35,76.44,0
47,2022-01-01,1799,278,62.76,0
48,2022-01-01,655,49,96.89,0
49,2022-01-01,2342,484,13.1,0
50,2022-01-01,1974,447,22.45,0
51,2022-01-01,447,279,91.8,0
52,2022-01-01,1608,403,51.65,0
53,2022-01-01,973,393,47.74,0
54,2022-01-01,1708,403,37.68,0
55,2022-01-01,1037,340,58.98,0
56,2022-01-01,1697,410,35.01,0
57,2022-01-01,1321,229,100.18,0
58,2022-01-01,724,412,90.91,0
59,2022-01-01,2753,60,48.24,0
60,2022-01-01,2570,40,64.93,0
61,2022-01-01,2039,496,1.92,0
62,2022-01-01,230,33,18.93,0
63,2022-01-01,1193,432,64.0,0
64,2022-01-01,1457,430,33.16,0
65,2022-01-01,2431,471,45.58,0
